Job_name,Job_description,Posting_date,Experience,Location,Company_name,Job_application_link,Type
Supply Chain Analyst IV,"Description: 5 Days on site: Main office in Fremont, CA Must be willing to commute between Fremont and Newark for supply chain purposes. Max bill rate: *** hourly Minimum years of experience: 5 Please see must have skills for qualification needs and see attached scrubbed resume. Summary: The Meta IT Logistics Team is looking for a highly motivated, goal-oriented and hands-on Suppl...",01-05-2026,N/A,"Fremont, CA",PRI India IT Services Private Limited,https://www1.jobdiva.com/portal/?a=74jdnww6u8rk6etus6fjb7z7jh2bqs0267mjowh28c4pbat3q8pogch40ecq88g5#/jobs/28118506,Onsite
Customer Allocations Lead,"9-12 months Hybrid - 19 E Chocolate Ave, Hershey PA 17033 Dady Shift Role Summary The Customer Allocations Lead owns the end to end allocation process when customer demand exceeds available supply. This role serves as the central point of coordination across Customer Supply Chain, Sales, IDP/Customer Planning, and senior leadership, ensuring limited inventory is allocated in a disciplined, t...",30-04-2026,N/A,"Hershey, PA",PRI India IT Services Private Limited,https://www1.jobdiva.com/portal/?a=74jdnww6u8rk6etus6fjb7z7jh2bqs0267mjowh28c4pbat3q8pogch40ecq88g5#/jobs/28114551,Hybrid
Systems Engineer V,"Description: Calibration Contingent Worker (AR/VR) 5 days in office - Redmond, WA BSc/MSc/PhD in Physics, Mathematics, Aerospace Engineering, Optical Sciences, Electrical Engineering, Computer Science or a related experience 3+ Years of coding experience is a MUST. Please attach listed answers to screening questions: they are to be asked verbally to each candidate. As a Systems Engineer ...",30-04-2026,3+ Years of coding experience is a MUST,"Redmond, WA",PRI India IT Services Private Limited,https://www1.jobdiva.com/portal/?a=74jdnww6u8rk6etus6fjb7z7jh2bqs0267mjowh28c4pbat3q8pogch40ecq88g5#/jobs/28113784,Onsite
Lab Engineer II,"Description: Capture System Engineer Meta Reality Labs (RL) brings together a diverse and highly interdisciplinary team of researchers and engineers to create the future of wearable experiences. We are currently seeking systems engineers with a passion for technology to develop the next generation of smart, AI-powered wearable devices. In this role, you will partner with research scien...",30-04-2026,N/A,"Sausalito, CA",PRI India IT Services Private Limited,https://www1.jobdiva.com/portal/?a=74jdnww6u8rk6etus6fjb7z7jh2bqs0267mjowh28c4pbat3q8pogch40ecq88g5#/jobs/28111010,Onsite
Finance Associate III,"Description: Meta is seeking a highly organized and analytical Temporary Finance Associate to provide critical support to our finance and business operations teams. This is a temporary, non-full-time position focused on executing time-bound deliverables and operational priorities. The successful candidate will play a key role in ensuring the provision of accurate and timely financial insights to f...",29-04-2026,N/A,"Menlo Park, CA",PRI India IT Services Private Limited,https://www1.jobdiva.com/portal/?a=74jdnww6u8rk6etus6fjb7z7jh2bqs0267mjowh28c4pbat3q8pogch40ecq88g5#/jobs/28107762,Onsite
Accounting Manager V,"Description: Bill Rate: ***/hr Onsite; MPK Summary: Seeking a skilled, self-starting Accounting Manager to join our Corporate Accounting team. This role requires full ownership, limited direction, and a strong accounting background coupled with business acumen. Responsibilities include problem-solving, project management, designing scalable accounting technologies, and exercising good bus...",29-04-2026,N/A,"Menlo Park, CA",PRI India IT Services Private Limited,https://www1.jobdiva.com/portal/?a=74jdnww6u8rk6etus6fjb7z7jh2bqs0267mjowh28c4pbat3q8pogch40ecq88g5#/jobs/28106462,Onsite
HR Coordinator,"Summary: This position is part of HR Services which provides support to customers across a variety of HR-related services including talent acquisition administration and responding to customers’ questions and needs, advising on HR policies and practices and executing transactions which support the customer requests. Additional responsibilities include administration, regular communication an...",28-04-2026,N/A,"Bluffton, IN",PRI India IT Services Private Limited,https://www1.jobdiva.com/portal/?a=74jdnww6u8rk6etus6fjb7z7jh2bqs0267mjowh28c4pbat3q8pogch40ecq88g5#/jobs/28101539,Onsite
Senior Program Manager,"Senior Program Manager Location: New York City (Hybrid – 3 days onsite) Duration: 9 months (with strong potential for extension) About the Role We’re looking for a Senior Program Manager to support Mastercard’s Software Builders’ Experience organization. This role sits close to senior leadership and focuses on helping an SVP clearly track, demons...",27-04-2026,N/A,"New York, NY",PRI India IT Services Private Limited,https://www1.jobdiva.com/portal/?a=74jdnww6u8rk6etus6fjb7z7jh2bqs0267mjowh28c4pbat3q8pogch40ecq88g5#/jobs/28091612,Hybrid
Mechanical Technician IV,"Description: We are looking for a Prototype Assembly Technician specializing in optical system assembly and custom tool operation. The ideal candidate will have hands-on experience in opto-mechanical and electrical assembly techniques (soldering, lamination, machining) and has a good attention to organization and cleanliness. The ideal candidate should be extremely motivated and able to work indep...",24-04-2026,N/A,"Redmond, WA",PRI India IT Services Private Limited,https://www1.jobdiva.com/portal/?a=74jdnww6u8rk6etus6fjb7z7jh2bqs0267mjowh28c4pbat3q8pogch40ecq88g5#/jobs/28087249,Onsite
Accountant III,"Description: Fully Onsite only in MPK and Austin/ TX Max BR rate of ***/hr Job Description Meta is looking for an Infrastructure Accounting Analyst, Data Center to join the team in Austin, Texas on a temporary basis . The company is in a period of exceptional growth and we want people to join us who are ready for the challenge of helping us build and scale. This is a great role for any...",24-04-2026,N/A,"Menlo Park, CA",PRI India IT Services Private Limited,https://www1.jobdiva.com/portal/?a=74jdnww6u8rk6etus6fjb7z7jh2bqs0267mjowh28c4pbat3q8pogch40ecq88g5#/jobs/28086645,Onsite
